Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
AHGAZ    2024-07-24   %0.14  -1.37%    -1.09%    -0.96%    -0.15%    -0.07%    -1.94%    +0.23%    -1.14%    +0.00%    +3.69%    +1.33%    -2.56%    -2.03%    +5.59%    -4.06%   
TEZOL    2024-07-24   %0.39  -1.22%    -0.65%    -0.38%    -0.05%    +0.65%    -0.16%    -0.27%    -0.49%    -3.17%    -1.81%    -4.14%    -0.72%    +1.57%    +3.69%    -0.23%   
YAPRK    2024-07-24   %0.44  -0.06%    +0.39%    -2.77%    +1.14%    +1.29%    -2.00%    +1.36%    +0.28%    +0.33%    +1.28%    -4.72%    -1.38%    -3.27%    -0.12%    -1.03%   
BRKSN    2024-07-25   %0.22  -0.23%    +1.02%    +1.12%    -0.50%    -3.91%    +0.23%    +0.00%    -2.96%    -1.31%    +1.51%    +2.27%    -5.07%    +0.61%    -1.71%    -7.45%   
ENERY    2024-07-25   %0.16  -0.98%    -0.11%    -0.77%    +1.88%    -1.85%    +2.60%    +3.45%    -0.63%    +1.89%    -0.57%    -2.59%    -0.37%    +2.24%    +0.78%    -4.04%   
VESBE    2024-07-25   %2.89  -0.29%    +3.34%    +3.23%    -0.36%    +4.13%    -0.09%    -2.59%    -5.49%    -0.37%    -1.69%    +0.38%    -4.67%    +3.30%    -3.00%    -5.23%   
OSMEN    2024-07-29   %0.41  +1.87%    -3.46%    -0.12%    +1.80%    -1.18%    -3.78%    -0.54%    -4.25%    -0.61%    +0.92%    -94.24%   +9.95%    -5.11%    -7.84%    +3.48%   
AYDEM    2024-07-30   %1.51  +1.51%    +0.83%    -0.05%    +0.05%    -1.15%    -4.42%    -6.19%    -2.84%    -5.84%    +1.89%    -0.93%    -5.68%    +1.27%    -3.08%    -0.29%   
AYEN     2024-07-31   %1.69  +0.73%    -0.60%    +0.18%    -2.05%    -1.23%    +0.31%    +1.43%    -6.12%    +9.78%    -5.94%    -5.37%    -0.60%    +1.75%    +0.33%    -1.18%   
ASTOR    2024-07-31   %1.22  -1.20%    +0.47%    +0.63%    +1.93%    +0.46%    +0.76%    -2.07%    -4.28%    +1.35%    -2.87%    -7.00%    -1.18%    -0.48%    +0.12%    -4.12%   
LILAK    2024-08-01   %1.02  +0.54%    +1.45%    -1.28%    +1.22%    +2.03%    +1.10%    -1.75%    +8.74%    +2.79%    -7.75%    +6.39%    -1.89%    -2.68%    +4.95%    -3.71%   
